,wrapperType,artistType,artistName,artistLinkUrl,artistId,amgArtistId,primaryGenreName,primaryGenreId,collectionType,collectionId,collectionName,collectionCensoredName,artistViewUrl,collectionViewUrl,artworkUrl60,artworkUrl100,collectionPrice,collectionExplicitness,trackCount,copyright,country,currency,releaseDate
31,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,1443898502.0,Satchmo Serenades,Satchmo Serenades,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/satchmo-serenades/1443898502?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f9/2f/15/f92f1531-c586-bbba-ce7b-f7cc1ec84d4e/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f9/2f/15/f92f1531-c586-bbba-ce7b-f7cc1ec84d4e/source/100x100bb.jpg,6.99,notExplicit,18.0,"This Compilation ℗ 2000 The Verve Music Group, a Division of UMG Recordings, Inc.",USA,USD,2000-01-01T08:00:00Z
32,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,477023849.0,The Complete Hot Five & Hot Seven Recordings,The Complete Hot Five & Hot Seven Recordings,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/the-complete-hot-five-hot-seven-recordings/477023849?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/cd/74/ba/cd74ba92-42b3-ab82-45cc-ce4ac936a1e5/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/cd/74/ba/cd74ba92-42b3-ab82-45cc-ce4ac936a1e5/source/100x100bb.jpg,29.99,notExplicit,93.0,"℗ Originally Released 1926, 1927 Courtesy of MCA Records under license from Universal Music Enterprises. Originally released 1925, 1926, 1927, 1928, 1929, 1937, 1940, 1941. All rights reserved by SONY BMG MUSIC ENTERTAINMENT, (P) 2000, 2006 SONY BMG MU",USA,USD,2006-09-19T07:00:00Z
33,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,1435198148.0,Let's Do It: Best of the Verve Years,Let's Do It: Best of the Verve Years,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/lets-do-it-best-of-the-verve-years/1435198148?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/58/11/ff/5811ff62-6012-4545-a9db-461796c6d5bc/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/58/11/ff/5811ff62-6012-4545-a9db-461796c6d5bc/source/100x100bb.jpg,16.99,notExplicit,34.0,"A Verve Label Group release; This Compilation ℗ 1995 UMG Recordings, Inc.",USA,USD,1995-09-26T07:00:00Z
34,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,200036163.0,Satch Blows the Blues,Satch Blows the Blues,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/satch-blows-the-blues/200036163?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/9b/92/88/9b928825-d489-b512-4583-542085f0d622/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/9b/92/88/9b928825-d489-b512-4583-542085f0d622/source/100x100bb.jpg,9.99,notExplicit,16.0,"℗ Originally Released 1928, 1929, 1930, 1931, 1954 (P) 2002 Sony Music Entertainment Inc.",USA,USD,2002-07-26T07:00:00Z
35,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,1445098760.0,An American Songbook,An American Songbook,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/an-american-songbook/1445098760?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/47/c8/37/47c8378a-69b6-2012-3f4a-dfe2baa69728/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/47/c8/37/47c8378a-69b6-2012-3f4a-dfe2baa69728/source/100x100bb.jpg,9.99,notExplicit,12.0,"A Verve Label Group Release; This Compilation ℗ 1991 UMG Recordings, Inc.",USA,USD,1991-10-22T07:00:00Z
36,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,190328280.0,Louis Armstrong's Greatest Hits,Louis Armstrong's Greatest Hits,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/louis-armstrongs-greatest-hits/190328280?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/37/d4/20/37d4205d-45a5-e079-6026-a0363ba3d06b/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/37/d4/20/37d4205d-45a5-e079-6026-a0363ba3d06b/source/100x100bb.jpg,9.99,notExplicit,11.0,℗ Originally released 1967 Sony Music Entertainment Inc. WARNING: All rights reserved. Unauthorized duplication is a violation of applicable laws.,USA,USD,1997-12-09T08:00:00Z
37,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,293785416.0,"The Complete Hot Five and Hot Seven Recordings, Vol. 2","The Complete Hot Five and Hot Seven Recordings, Vol. 2",https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-2/293785416?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/60/d7/9c/60d79cff-c224-7dac-248e-906143c52b5d/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/60/d7/9c/60d79cff-c224-7dac-248e-906143c52b5d/source/100x100bb.jpg,9.99,notExplicit,22.0,"℗ Originally Released 1926, 1927, 1928, 1940, (P) 2003 Sony Music Entertainment Inc.",USA,USD,2003-04-11T07:00:00Z
38,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,158662145.0,The Essence of Louis Armstrong,The Essence of Louis Armstrong,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/the-essence-of-louis-armstrong/158662145?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/af/a6/6c/afa66c88-59d5-7501-3831-71aa5d912e48/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music/v4/af/a6/6c/afa66c88-59d5-7501-3831-71aa5d912e48/source/100x100bb.jpg,9.99,notExplicit,12.0,℗ 1991 Sony Music Entertainment Inc.,USA,USD,1991-10-11T07:00:00Z
39,collection,,Louis Armstrong & Earl Hines,,405220,6746.0,Jazz,,Album,194021777.0,"Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines","Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines",https://music.apple.com/us/artist/earl-fatha-hines/405220?uo=4,https://music.apple.com/us/album/louis-armstrong-vol-4-louis-armstrong-and-earl-hines/194021777?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/5e/3d/dd/5e3ddd50-0e03-247c-28a4-d27853c11cde/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/5e/3d/dd/5e3ddd50-0e03-247c-28a4-d27853c11cde/source/100x100bb.jpg,9.99,notExplicit,18.0,"℗ Originally Released 1928, 1929, 1941 SONY BMG MUSIC ENTERTAINMENT",USA,USD,1989-08-18T07:00:00Z
40,collection,,Louis Armstrong,,518462,52456.0,Jazz,,Album,1444079320.0,Louis for Lovers,Louis for Lovers,https://music.apple.com/us/artist/louis-armstrong/518462?uo=4,https://music.apple.com/us/album/louis-for-lovers/1444079320?uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/d4/d9/a3/d4d9a346-51ec-1783-8f84-1c57d595488d/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/d4/d9/a3/d4d9a346-51ec-1783-8f84-1c57d595488d/source/100x100bb.jpg,9.99,notExplicit,10.0,"This Compilation ℗ 2003 The Verve Music Group, a Division of UMG Recordings, Inc.",USA,USD,2003-01-01T08:00:00Z
