X,Y
57,64
67,67
58,62
55,59
54,65
56,56
57,56
62,63
57,61
59,59
57,64
50,61
64,56
58,63
60,63
54,61
56,59
69,63
60,62
54,61
59,56
55,61
58,58
56,58
62,60
63,63
56,61
62,60
53,62
56,61
69,57
62,61
67,57
73,57
67,66
57,59
53,62
59,60
65,57
56,59
66,59
62,65
66,57
60,59
58,58
60,60
64,61
65,55
62,62
63,55
61,57
60,60
67,61
62,52
55,60
53,60
64,59
55,57
56,57
53,60
66,60
66,59
64,61
58,59
53,59
55,55
65,60
56,62
60,58
63,65
61,65
59,58
63,64
56,64
60,63
64,56
59,61
54,62
62,59
50,58
61,59
64,61
67,63
54,56
64,60
58,57
59,55
63,65
54,59
60,61
58,53
51,59
59,67
65,62
63,60
57,61
59,58
52,59
56,58
60,62
