site1,site2
193,720
8426,2099
4024,2282
1447,2455
2274,7988
3823,6384
4236,1094
3283,2633
655,6923
335,4178
5446,6497
557,1338
8880,4005
8906,4066
6978,4891
4291,4760
2236,7951
171,9317
1195,2616
0,916
150,5721
9782,1285
157,3441
1329,9324
7560,9109
681,9242
5892,4008
3673,8480
3999,1381
1591,3631
4657,734
3194,1387
515,834
0,7337
569,0
3097,9203
3733,731
0,1075
5604,8840
9383,7067
9464,0
1830,2431
5945,9529
0,8029
3391,5276
2397,5665
3044,7649
5327,2421
119,4192
8372,9303
1351,2540
8164,1734
3342,7855
710,4318
4292,1976
4574,0
2343,1958
7540,5784
8676,3090
9771,8758
1362,6415
5192,3841
1585,4000
858,5721
1754,0
4296,8968
6278,7517
6642,2372
2607,6468
151,4955
280,5348
7903,7533
8360,0
3396,6546
0,3534
7815,510
448,9793
7234,7527
435,5148
0,2021
2266,8597
866,9143
8442,842
0,3443
8105,1934
4592,2358
3288,8245
2343,4600
2332,8663
1590,3327
3782,4213
0,9404
0,661
7079,0
1049,6209
2085,4554
0,7231
5355,0
892,1994
0,3659
