men,women
54,72
63,72
57,73
65,68
63,68
65,62
57,76
59,72
67,71
66,70
54,77
59,74
66,64
51,70
58,63
55,67
49,67
62,67
57,72
53,74
55,64
57,67
67,75
65,55
53,69
55,67
71,65
63,65
58,67
57,71
54,73
62,70
59,80
57,78
56,66
66,77
58,67
53,66
62,66
67,63
54,73
65,67
63,68
64,69
63,76
59,72
66,73
66,62
69,81
62,66
64,74
60,62
57,69
48,63
64,64
53,66
63,66
57,66
60,73
53,69
50,73
60,65
52,71
72,63
55,62
55,68
60,67
60,64
60,69
58,69
56,73
64,68
65,72
59,75
61,64
61,69
60,73
75,68
48,74
52,61
62,67
49,76
60,76
58,64
57,65
57,77
59,81
70,70
64,78
67,68
51,70
60,78
56,72
59,71
57,64
67,71
52,67
59,68
56,61
60,68
