true,pred,set_label
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,test
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,test
1,1,train
1,1,test
1,1,train
1,1,test
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,test
1,1,test
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,test
1,1,train
1,1,test
1,1,test
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,test
1,1,train
1,1,train
1,1,train
1,1,train
1,1,train
1,1,test
1,1,test
