rec,freq,mon,time,target
14,1,250,14,0
9,9,2250,16,0
11,3,750,16,1
12,11,2750,23,0
2,1,250,2,0
14,5,1250,28,0
2,2,500,10,0
4,9,2250,55,0
2,2,500,16,0
11,3,750,28,0
38,1,250,38,0
16,1,250,16,0
10,4,1000,16,0
4,5,1250,16,1
2,2,500,10,1
11,7,1750,29,0
2,1,250,2,1
4,1,250,4,0
2,1,250,2,0
14,5,1250,26,0
4,12,3000,34,1
21,5,1250,60,0
11,6,1500,41,0
4,5,1250,28,0
4,4,1000,14,1
13,3,750,14,1
2,3,750,75,1
2,16,4000,81,0
4,9,2250,52,0
15,16,4000,82,0
4,2,500,4,1
21,1,250,21,0
23,3,750,89,0
23,1,250,23,0
4,2,500,9,0
11,2,500,21,0
16,1,250,16,0
12,12,3000,58,0
11,2,500,11,0
2,6,1500,26,0
4,7,1750,25,0
4,3,750,71,0
4,7,1750,52,0
4,5,1250,11,1
9,11,2750,49,1
14,16,4000,98,0
2,3,750,52,0
2,1,250,2,0
16,1,250,16,0
16,7,1750,39,0
3,4,1000,29,1
23,8,2000,69,0
2,5,1250,37,0
18,8,2000,95,0
7,9,2250,89,1
8,8,2000,52,1
14,5,1250,50,0
4,23,5750,58,0
4,1,250,4,0
2,1,250,2,1
11,3,750,37,0
2,16,4000,64,0
2,3,750,4,1
21,1,250,21,0
2,4,1000,14,1
16,7,1750,87,1
2,43,10750,86,1
2,2,500,4,0
14,16,4000,70,0
4,6,1500,35,0
16,2,500,26,0
4,4,1000,26,0
4,4,1000,46,0
2,11,2750,40,1
14,4,1000,38,0
11,2,500,21,0
4,1,250,4,0
7,10,2500,47,0
7,12,3000,86,0
4,1,250,4,1
4,2,500,51,1
4,3,750,28,0
21,3,750,70,0
2,3,750,16,1
4,6,1500,14,0
21,3,750,26,1
14,1,250,14,0
11,12,3000,58,0
2,4,1000,14,1
21,3,750,35,0
2,7,1750,29,0
14,2,500,14,1
4,6,1500,35,0
2,3,750,38,1
4,11,2750,78,0
12,9,2250,60,0
9,3,750,14,0
35,3,750,64,0
4,3,750,34,0
4,2,500,31,0
